150918 163515.729|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\CONTEST2015\pc2-9.2.4\bin\logs directory.
150918 163515.729|INFO|AWT-EventQueue-0|info|
150918 163515.730|INFO|AWT-EventQueue-0|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_60 build 2837 Windows 7 6.1 (x86) 
150918 163515.730|INFO|AWT-EventQueue-0|info|Login: team1 (aka team1)
150918 163515.730|INFO|AWT-EventQueue-0|startLog|Working directory is D:\CONTEST2015\pc2-9.2.4\bin
150918 163515.731|INFO|AWT-EventQueue-0|startLog|Process id is 2820@Student-PC
150918 163515.732|INFO|AWT-EventQueue-0|info|Contacting server at 172.16.107.17:50002 as TEAM1 @ site 0
150918 163515.732|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM1 @ site 0
150918 163515.742|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
150918 163515.743|INFO|Thread-4|run|send(Serializable)
150918 163515.745|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
150918 163515.746|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
150918 163516.087|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
150918 163516.136|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #89 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 163516.137|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #89 ) recieveObject
150918 163516.137|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163516.137|INFO|Thread-5|dumpPacket|    To: TEAM1 @ site 1
150918 163516.137|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@3bb503
150918 163516.137|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
150918 163516.137|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1442323551175,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=8,WEEK_OF_YEAR=38,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=258,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=1,HOUR_OF_DAY=13,MINUTE=25,SECOND=51,MILLISECOND=175,ZONE_OFFSET=0,DST_OFFSET=0]
150918 163516.138|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@fc5a74
150918 163516.138|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@c3de73
150918 163516.138|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@1c1504f
150918 163516.138|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-3387292274386846036
150918 163516.138|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@76619
150918 163516.138|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@ccb1d7
150918 163516.138|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@e0d93b
150918 163516.138|INFO|Thread-5|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-2794034061787222006
150918 163516.138|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@1eeaf00
150918 163516.139|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163516.139|INFO|Thread-5|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@f0224a
150918 163516.139|INFO|Thread-5|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@121784a
