150918 163516.153|CONFIG|Thread-5|setFileHandlers|Now logging to D:\CONTEST2015\pc2-9.2.4\bin\logs directory.
150918 163516.153|INFO|Thread-5|info|
150918 163516.153|INFO|Thread-5|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_60 build 2837 Windows 7 6.1 (x86) 
150918 163516.153|INFO|Thread-5|info|Login: team1 (aka team1)
150918 163516.153|INFO|Thread-5|startLog|Working directory is D:\CONTEST2015\pc2-9.2.4\bin
150918 163516.154|INFO|Thread-5|startLog|Process id is 2820@Student-PC
150918 163516.154|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
150918 163516.159|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
150918 163516.289|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
150918 163516.292|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #89 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 163516.292|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #89 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 163723.233|INFO|Thread-6|info| receiveObject(S) start got Packet[CLOCK_STARTED] #102 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163723.234|INFO|Thread-6|dumpPacket|Packet CLOCK_STARTED (Seq #102 ) recieveObject
150918 163723.235|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163723.235|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
150918 163723.235|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163723.235|INFO|Thread-6|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
